,source,author,year,sample,diagnosis,modality,method,accuracy
708,rashid,rive,2016,81,MDD/BP/HC,sMRI/rsfMRI,ML,69.1
709,rashid,jie,2015,46,MDD/BP/HC,sMRI/rsfMRI,ML,92.1
711,rashid,sacchet,2015,118,MDD/HC,sMRI,ML,62.8
713,rashid,sacchet,2015,32,MDD/HC,DTI,ML,71.9
714,rashid,joao,2015,46,MDD/HC,tfMRI,ML,78.3
715,rashid,johnston,2015,41,MDD/HC,sMRI,ML,85.0
716,rashid,johnston,2015,40,MDD/HC,tfMRI,ML,97.0
717,rashid,koutsoleris,2015,262,MDD/HC,sMRI,ML,76.0
721,rashid,patel,2015,68,MDD/HC,rsfMRI/sMRI/DTI,ML,87.3
722,rashid,redlich,2014,116,MDD/BP/HC,sMRI,ML,79.3
726,rashid,rondina,2014,60,MDD/HC,tfMRI,ML,72.0
730,rashid,habes,2013,18,MDD/HC,tfMRI,ML,72.2
732,rashid,grotegerd,2014,44,MDD/BP/HC,tfMRI,ML,79.6
733,rashid,yu,2013,51,MDD/HC,rsfMRI,ML,80.9
734,rashid,modinos,2013,34,MDD/HC,rsfMRI,ML,77.0
736,rashid,grotegerd,2013,30,MDD/BP/HC,tfMRI,ML,90.0
737,rashid,fang,2012,48,MDD/HC,DTI,ML,91.7
746,rashid,matsuo,2018,1531,MDD/BP/HC,sMRI,ML,88.1
747,rashid,geng,2018,48,MDD/HC,rsfMRI,ML,91.7
748,rashid,rubin,2018,52,MDD/BP/HC,sMRI,ML,75.0
750,rashid,yang,2018,307,MDD/HC,dMRI/sMRI,ML,75.1
751,colombo,achalia,2020,60,BP/HC,sMRI,ML,77.8
752,colombo,achalia,2020,60,BP/HC,DTI,ML,74.0
754,colombo,bancal,2012,91,BP/SCZ,sMRI,ML,99.9
755,colombo,bancal,2012,66,BP/HC,sMRI,ML,100.0
757,colombo,besga,2016,33,BP/HC,DTI,ML,66.8
758,colombo,burger,2017,108,BP/MDD,fMRI,ML,70.8
759,colombo,du,2020,623,BP/SCZ/SAD/HC,rsfMRI,ML,60.0
760,colombo,frangou,2017,60,BP/HC,fMRI,ML,83.5
761,colombo,fung,2015,35,BP/MDD,sMRI,ML,74.3
762,colombo,grotegerd,2013,20,BP/MDD,fMRI,ML,82.5
763,colombo,grotegerd,2013,20,BP/HC,fMRI,ML,65.0
764,colombo,grotegerd,2014,44,BP/MDD,fMRI,ML,77.3
765,colombo,he,2017,86,BP/MDD/HC,sMRI,ML,89.4
766,colombo,he,2017,86,BP/MDD/HC,fMRI,ML,90.5
767,colombo,jie,2015,50,BP/MDD,rsfMRI,ML,88.0
768,colombo,jie,2015,45,BP/HC,rsfMRI,ML,82.2
769,colombo,li,2017,44,BP/MDD,rsfMRI,ML,86.0
770,colombo,li,2017,44,BP/HC,rsfMRI,ML,81.0
771,colombo,li,2020,80,BP/HC,sMRI/fMRI,ML,75.0
772,colombo,lin,2018,76,BP/HC,sMRI,ML,90.7
775,colombo,mourao,2012,36,BP/MDD,fMRI,ML,67.0
776,colombo,mourao,2012,36,BP/HC,fMRI,ML,64.0
778,colombo,rashid,2016,159,BP/MDD/HC,rsfMRI,ML,88.7
779,colombo,rive,2016,91,BP/MDD,rsfMRI/sMRI,ML,69.1
780,colombo,roberts,2017,200,BP/MDD/HC,rsfMRL,ML,64.3
782,colombo,rubin,2018,118,BP/MDD,sMRI,ML,71.6
783,colombo,salvador,2017,256,BP/SCZ,sMRI,ML,65.2
784,colombo,salvador,2017,255,BP/HC,sMRI,ML,65.5
785,colombo,schnack,2014,334,BP/MDD/HC,sMRI,ML,65.0
787,colombo,serpa,2014,42,BP/MDD,sMRI,ML,54.8
788,colombo,shan,2020,82,BP/HC,rsfMRI,ML,91.9
789,colombo,shao,2019,266,BP/MDD/HC,rsfMRI,ML,80.4
792,colombo,vai,2020,148,BP/MDD,DTI,ML,73.7
793,colombo,vai,2020,148,BP/HC,DTI,ML,77.7
794,colombo,wang,2020,207,BP/HC,rsfMRI,ML,80.5
795,colombo,yang,2019,190,BP/HC,sMRI,ML,81.5
796,colombo,yu,2020,46,BP/MDD,rsfMRI,ML,91.3
797,colombo,yu,2020,46,BP/HC,rsfMRI,ML,89.1
